Method,Top_K,Meta_Model,FS_Method,Best_n,Fold,R2,MSE,MAE
RandomAverage,30,None,None,30,8,0.6732719824163351,6301.530211754337,59.90324913596011
RandomAverage,30,None,None,30,9,0.8175505595290905,3143.665497799586,44.54359899226995
RandomAverage,30,None,None,30,10,0.6703835494706816,6856.15890481892,58.67813735621782
TopKAverage,30,None,None,30,1,0.7563911230702939,4587.326057897487,53.13527672309639
TopKAverage,30,None,None,30,2,0.889462404804228,2626.597325631827,39.110698646631555
TopKAverage,30,None,None,30,3,0.7435442656158203,3915.7939459546783,51.03083045637682
TopKAverage,30,None,None,30,4,0.7303663250337432,5584.409518467509,54.66224872422011
TopKAverage,30,None,None,30,5,0.6891472387626724,6406.254324503199,60.628727512040214
TopKAverage,30,None,None,30,6,0.7179428961626655,6352.742980373853,60.80056784756117
TopKAverage,30,None,None,30,7,0.8164562183691397,3507.527472236344,47.14052752897976
TopKAverage,30,None,None,30,8,0.6496438865203296,6757.240013552345,62.18446525130499
TopKAverage,30,None,None,30,9,0.7988064530105125,3466.632785599679,45.51749236720758
TopKAverage,30,None,None,30,10,0.7000779020603765,6238.504052933543,56.06365571266671
FS_MetaModel,30,LinearRegression,RF,5,1,0.768602215163065,4357.382627023584,50.21645746526467
FS_MetaModel,30,LinearRegression,RF,5,2,0.8902212069088778,2608.566649505507,38.112904737684325
FS_MetaModel,30,LinearRegression,RF,5,3,0.7608473690141033,3651.594794019458,49.34704065364404
FS_MetaModel,30,LinearRegression,RF,5,4,0.7189458898934181,5820.939272069886,56.21694148722978
FS_MetaModel,30,LinearRegression,RF,5,5,0.6815489466079037,6562.844833082156,60.53755236310787
FS_MetaModel,30,LinearRegression,RF,5,6,0.6962354264927255,6841.6580748396855,63.004711214937274
FS_MetaModel,30,LinearRegression,RF,5,7,0.7975074166643719,3869.639672142427,49.819732662943615
FS_MetaModel,30,LinearRegression,RF,5,8,0.6304025597164311,7128.3431808463965,64.77326378671026
FS_MetaModel,30,LinearRegression,RF,5,9,0.7978842685780809,3482.522334920085,45.42395612412804
FS_MetaModel,30,LinearRegression,RF,5,10,0.7005676537194448,6228.317015262701,56.66362470495615
FS_MetaModel,30,LinearRegression,RFE_RF,2,1,0.7702275169484196,4326.77705416486,50.25291796152768
FS_MetaModel,30,LinearRegression,RFE_RF,2,2,0.885389977376493,2723.3664562753306,38.57692611522907
FS_MetaModel,30,LinearRegression,RFE_RF,2,3,0.755723645995971,3729.828348138765,50.46817203317313
FS_MetaModel,30,LinearRegression,RFE_RF,2,4,0.7225505409699324,5746.282989671333,56.66792129278605
FS_MetaModel,30,LinearRegression,RFE_RF,2,5,0.6719524939971077,6760.614721929517,61.145341429208415
FS_MetaModel,30,LinearRegression,RFE_RF,2,6,0.695646977293735,6854.9116552932,63.03447855911194
FS_MetaModel,30,LinearRegression,RFE_RF,2,7,0.7937591926415943,3941.2683517695546,49.75462835921436
FS_MetaModel,30,LinearRegression,RFE_RF,2,8,0.6395720004684282,6951.494227545947,63.785553717768984
FS_MetaModel,30,LinearRegression,RFE_RF,2,9,0.7884366214150366,3645.3084873203834,45.93071960523177
FS_MetaModel,30,LinearRegression,RFE_RF,2,10,0.7212396586546714,5798.330737303836,54.97520015811483
FS_MetaModel,30,LinearRegression,XGB,5,1,0.7639303376883742,4445.35735745649,51.33583037175446
FS_MetaModel,30,LinearRegression,XGB,5,2,0.8879821887535184,2661.770259449188,37.590364920505195
FS_MetaModel,30,LinearRegression,XGB,5,3,0.7514015642292162,3795.8217315849156,51.01613718595728
FS_MetaModel,30,LinearRegression,XGB,5,4,0.7251691971946637,5692.047743466223,55.697304661782184
FS_MetaModel,30,LinearRegression,XGB,5,5,0.6847705202225547,6496.452564863548,59.2113623343992
FS_MetaModel,30,LinearRegression,XGB,5,6,0.7005710131929495,6744.008103961678,62.6033748427057
FS_MetaModel,30,LinearRegression,XGB,5,7,0.800153114773098,3819.0802976043988,49.974928578581135
FS_MetaModel,30,LinearRegression,XGB,5,8,0.6462951458920821,6821.826425199232,62.90863452152076
FS_MetaModel,30,LinearRegression,XGB,5,9,0.7929802408241144,3567.0203898913956,45.39787644211198
FS_MetaModel,30,LinearRegression,XGB,5,10,0.713062636437803,5968.416191464437,55.20546025382347
FS_MetaModel,30,LinearRegression,RF_XGB,4,1,0.7671527859960892,4384.6763950937175,50.5527444941208
FS_MetaModel,30,LinearRegression,RF_XGB,4,2,0.8864631331646354,2697.8660994227243,38.061185672261146
FS_MetaModel,30,LinearRegression,RF_XGB,4,3,0.7518008425424075,3789.7251956454884,50.93679374418249
FS_MetaModel,30,LinearRegression,RF_XGB,4,4,0.7210645480339802,5777.059535282505,56.0113459458078
FS_MetaModel,30,LinearRegression,RF_XGB,4,5,0.6815489466079035,6562.8448330821575,60.537552363107906
FS_MetaModel,30,LinearRegression,RF_XGB,4,6,0.6940519147483852,6890.837084046349,63.2321963336373
FS_MetaModel,30,LinearRegression,RF_XGB,4,7,0.8017450980762855,3788.657446327955,49.69147333100299
FS_MetaModel,30,LinearRegression,RF_XGB,4,8,0.6396898367064423,6949.221546374078,63.27563814587533
FS_MetaModel,30,LinearRegression,RF_XGB,4,9,0.7911869405964231,3597.919558660774,45.54047923348953
FS_MetaModel,30,LinearRegression,RF_XGB,4,10,0.7209459479099014,5804.440042634204,55.39374783855025
RandomAverage,40,None,None,40,1,0.7504976200967499,4698.3048535127045,53.13520262739321
RandomAverage,40,None,None,40,2,0.8714490419657464,3054.6313404246616,42.334391922020664
RandomAverage,40,None,None,40,3,0.7339745696033448,4061.9125648276813,50.66896270833227
RandomAverage,40,None,None,40,4,0.719200848191047,5815.658805732476,55.2433737667397
RandomAverage,40,None,None,40,5,0.6847904676667063,6496.041475060612,60.361132449735734
RandomAverage,40,None,None,40,6,0.7423870530540213,5802.189762638646,57.86858998381382
RandomAverage,40,None,None,40,7,0.8038255558718238,3748.8998320528226,48.27504435823447
RandomAverage,40,None,None,40,8,0.671767103208623,6330.554480510263,60.06015941297975
RandomAverage,40,None,None,40,9,0.814788525900862,3191.256270335874,44.87517335458507
RandomAverage,40,None,None,40,10,0.6682808169287949,6899.896613960431,58.83971001268742
TopKAverage,40,None,None,40,1,0.7501559156111827,4704.739388700827,53.99636014484735
TopKAverage,40,None,None,40,2,0.8915870200378181,2576.1121610083273,39.03749572325129
TopKAverage,40,None,None,40,3,0.7378259741370955,4003.1058994477967,51.13399184857091
TopKAverage,40,None,None,40,4,0.7219402408941751,5758.9229744677705,55.20136523197704
TopKAverage,40,None,None,40,5,0.6906818051431365,6374.628990142475,59.577810564245965
TopKAverage,40,None,None,40,6,0.7230078787049959,6238.664902375637,60.59897481919719
TopKAverage,40,None,None,40,7,0.8186454573566957,3465.6910459411347,46.841352922454455
TopKAverage,40,None,None,40,8,0.6616908707939263,6524.892521831161,61.028973094172784
TopKAverage,40,None,None,40,9,0.809722603725769,3278.5438208774003,43.986102289688965
TopKAverage,40,None,None,40,10,0.6913984033956793,6419.041225649792,56.97320826088974
FS_MetaModel,40,LinearRegression,RF,4,1,0.7702275169484196,4326.777054164859,50.25291796152766
FS_MetaModel,40,LinearRegression,RF,4,2,0.8860069004593624,2708.7071133005243,38.231531205965965
FS_MetaModel,40,LinearRegression,RF,4,3,0.7605123108840601,3656.7107591598624,49.64570068174731
FS_MetaModel,40,LinearRegression,RF,4,4,0.718945889893418,5820.939272069887,56.21694148722979
FS_MetaModel,40,LinearRegression,RF,4,5,0.6815489466079037,6562.844833082156,60.537552363107885
FS_MetaModel,40,LinearRegression,RF,4,6,0.695646977293735,6854.911655293198,63.034478559111946
FS_MetaModel,40,LinearRegression,RF,4,7,0.795912778896114,3900.113250330321,49.75485174882091
FS_MetaModel,40,LinearRegression,RF,4,8,0.6304025597164311,7128.343180846395,64.77326378671025
FS_MetaModel,40,LinearRegression,RF,4,9,0.7884366214150366,3645.3084873203834,45.93071960523178
FS_MetaModel,40,LinearRegression,RF,4,10,0.7212396586546714,5798.330737303834,54.97520015811482
FS_MetaModel,40,LinearRegression,RFE_RF,18,1,0.7581205816499537,4554.759139530154,50.330236808807385
FS_MetaModel,40,LinearRegression,RFE_RF,18,2,0.9095601195159138,2149.0348852735765,35.455062379224195
FS_MetaModel,40,LinearRegression,RFE_RF,18,3,0.714147825400902,4364.644906151015,52.99490676481863
FS_MetaModel,40,LinearRegression,RFE_RF,18,4,0.7169857941936166,5861.535006576892,55.287426636953455
FS_MetaModel,40,LinearRegression,RFE_RF,18,5,0.702269912516105,6135.813794564366,58.464994631986826
FS_MetaModel,40,LinearRegression,RFE_RF,18,6,0.7026657530121546,6696.828495644352,62.8973849064747
FS_MetaModel,40,LinearRegression,RFE_RF,18,7,0.8046481299901533,3733.180414634507,48.3291331153982
FS_MetaModel,40,LinearRegression,RFE_RF,18,8,0.6443582853379157,6859.182221583941,62.395591870670174
FS_MetaModel,40,LinearRegression,RFE_RF,18,9,0.8158899644211383,3172.2781125229317,43.00051470368614
FS_MetaModel,40,LinearRegression,RFE_RF,18,10,0.6932638613362085,6380.238926644429,59.28495057667674
FS_MetaModel,40,LinearRegression,XGB,6,1,0.7631504986811188,4460.042273063975,51.465462718504
FS_MetaModel,40,LinearRegression,XGB,6,2,0.8926076768112315,2551.8592871631186,37.97903054810042
FS_MetaModel,40,LinearRegression,XGB,6,3,0.7418504335227504,3941.6568788753793,51.49016861242949
FS_MetaModel,40,LinearRegression,XGB,6,4,0.7353725871994565,5480.724331171626,54.49322020663169
FS_MetaModel,40,LinearRegression,XGB,6,5,0.6984797517777733,6213.9238731876085,58.25058610709171
FS_MetaModel,40,LinearRegression,XGB,6,6,0.7188417026371852,6332.499255099653,61.733696093167985
FS_MetaModel,40,LinearRegression,XGB,6,7,0.8064419462655119,3698.900528876139,48.15905405728021
FS_MetaModel,40,LinearRegression,XGB,6,8,0.6611212104581341,6535.879433339335,60.85635374625679
FS_MetaModel,40,LinearRegression,XGB,6,9,0.8200364718537422,3100.832388608394,42.93091333843183
FS_MetaModel,40,LinearRegression,XGB,6,10,0.7115088333454045,6000.7359403458295,55.47612163700071
FS_MetaModel,40,LinearRegression,RF_XGB,9,1,0.7557113341989871,4600.126959254272,51.4898545624587
FS_MetaModel,40,LinearRegression,RF_XGB,9,2,0.8922206313481276,2561.056271921891,37.95691699813722
FS_MetaModel,40,LinearRegression,RF_XGB,9,3,0.7405120186438489,3962.0929860755678,51.7379861792809
FS_MetaModel,40,LinearRegression,RF_XGB,9,4,0.7214961274624547,5768.121051361127,55.31230834412814
FS_MetaModel,40,LinearRegression,RF_XGB,9,5,0.6984797517777733,6213.9238731876085,58.25058610709173
FS_MetaModel,40,LinearRegression,RF_XGB,9,6,0.7139455249956999,6442.77535777334,61.77411409565762
FS_MetaModel,40,LinearRegression,RF_XGB,9,7,0.8053334151460587,3720.0845936304045,48.98028657818212
FS_MetaModel,40,LinearRegression,RF_XGB,9,8,0.6362667307099861,7015.242226247921,63.79192723884739
FS_MetaModel,40,LinearRegression,RF_XGB,9,9,0.8239456737143547,3033.4755198702806,42.525340241145564
FS_MetaModel,40,LinearRegression,RF_XGB,9,10,0.7026353265746668,6185.308562147523,56.587719350472916
RandomAverage,50,None,None,50,1,0.748126590142765,4742.9530109569405,53.22135030248383
RandomAverage,50,None,None,50,2,0.8705327636108269,3076.4039714675523,42.43487993286937
RandomAverage,50,None,None,50,3,0.7313570164149275,4101.879691915058,50.57565581525035
RandomAverage,50,None,None,50,4,0.7185229412216037,5829.699003542593,55.32400604961965
RandomAverage,50,None,None,50,5,0.6817202560622242,6559.314377286295,60.59291568998084
RandomAverage,50,None,None,50,6,0.7428630704363866,5791.468472363677,57.44609793621699
RandomAverage,50,None,None,50,7,0.8001265649336207,3819.5876658765505,48.57858062179956
RandomAverage,50,None,None,50,8,0.6704822931107817,6355.334325556273,60.24658269460429
RandomAverage,50,None,None,50,9,0.815545044392086,3178.2212011508454,44.81766175893319
RandomAverage,50,None,None,50,10,0.6679530856308371,6906.71356090975,58.897197099744574
TopKAverage,50,None,None,50,1,0.7496433691148849,4714.390998806271,53.3193119694515
TopKAverage,50,None,None,50,2,0.8827261886756952,2786.6634754041816,39.65816433023003
TopKAverage,50,None,None,50,3,0.7364465200391017,4024.1686298976233,50.394202139822156
TopKAverage,50,None,None,50,4,0.7226155022379279,5744.937570471113,54.93155490748004
TopKAverage,50,None,None,50,5,0.6936360056863768,6313.7469187391125,59.43592318777491
TopKAverage,50,None,None,50,6,0.7385586544005489,5888.416389591271,58.73307009107024
TopKAverage,50,None,None,50,7,0.8071924689688901,3684.5580162764454,48.16617408972939
TopKAverage,50,None,None,50,8,0.6715547475919064,6334.650135802613,60.06485683034418
TopKAverage,50,None,None,50,9,0.8221926576810967,3063.6805783600107,43.92235268133043
TopKAverage,50,None,None,50,10,0.6832705308165484,6588.104346956852,58.06762247080843
FS_MetaModel,50,LinearRegression,RF,2,1,0.7711449883132837,4309.50042470677,50.213322786153334
FS_MetaModel,50,LinearRegression,RF,2,2,0.8853899773764928,2723.366456275335,38.57692611522907
FS_MetaModel,50,LinearRegression,RF,2,3,0.7585111563614786,3687.2661639093835,49.78754393478745
FS_MetaModel,50,LinearRegression,RF,2,4,0.7190939472219389,5817.872842200643,55.8564720468158
FS_MetaModel,50,LinearRegression,RF,2,5,0.6719524939971077,6760.614721929517,61.145341429208415
FS_MetaModel,50,LinearRegression,RF,2,6,0.6968315965587968,6828.230598095372,62.59949963042909
FS_MetaModel,50,LinearRegression,RF,2,7,0.7950942465224617,3915.755429880019,49.66231427002456
FS_MetaModel,50,LinearRegression,RF,2,8,0.6322187991149526,7093.313777717138,65.06051205156174
FS_MetaModel,50,LinearRegression,RF,2,9,0.7878385824639176,3655.612900488878,45.986450829849595
FS_MetaModel,50,LinearRegression,RF,2,10,0.7212396586546714,5798.330737303835,54.975200158114816
FS_MetaModel,50,LinearRegression,RFE_RF,18,1,0.7581205816499537,4554.759139530154,50.330236808807385
FS_MetaModel,50,LinearRegression,RFE_RF,18,2,0.9095601195159138,2149.0348852735765,35.455062379224195
FS_MetaModel,50,LinearRegression,RFE_RF,18,3,0.714147825400902,4364.644906151015,52.99490676481863
FS_MetaModel,50,LinearRegression,RFE_RF,18,4,0.7169857941936166,5861.535006576892,55.287426636953455
FS_MetaModel,50,LinearRegression,RFE_RF,18,5,0.7021932853239095,6137.392977195472,58.46873848675442
FS_MetaModel,50,LinearRegression,RFE_RF,18,6,0.702631762518901,6697.594060008726,62.88673939665507
FS_MetaModel,50,LinearRegression,RFE_RF,18,7,0.8007426555174493,3807.8141553333744,49.242627579324974
FS_MetaModel,50,LinearRegression,RFE_RF,18,8,0.6443582853379157,6859.182221583941,62.395591870670174
FS_MetaModel,50,LinearRegression,RFE_RF,18,9,0.8158899644211383,3172.2781125229317,43.00051470368614
FS_MetaModel,50,LinearRegression,RFE_RF,18,10,0.6932638613362085,6380.238926644429,59.28495057667674
FS_MetaModel,50,LinearRegression,XGB,7,1,0.7602605525793201,4514.461985620369,51.31655001635034
FS_MetaModel,50,LinearRegression,XGB,7,2,0.8995059529036803,2387.9422641466003,36.0537702744124
