FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RF,RF,2,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.6665313808027475,0.11262168698224044,6275.966245400165,1366.9103227240075,57.748970669953394,5.98286858693156,0.7364781938676104,5571.670054903274,56.68820891013401,31.0
RF_XGB,RF,2,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.6665313808027475,0.11262168698224044,6275.966245400165,1366.9103227240075,57.748970669953394,5.98286858693156,0.7364781938676104,5571.670054903274,56.68820891013401,31.0
XGB,RF,2,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.6665313808027475,0.11262168698224044,6275.966245400165,1366.9103227240075,57.748970669953394,5.98286858693156,0.7364781938676104,5571.670054903274,56.68820891013401,31.0
RFE_RF,RF,2,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.6665313808027475,0.11262168698224044,6275.966245400165,1366.9103227240075,57.748970669953394,5.98286858693156,0.7364781938676104,5571.670054903274,56.68820891013401,31.0
RF_XGB,XGB,3,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.6835068455132545,0.09382394118729268,6006.850748271966,1253.4466721875206,56.787912529126196,6.844031612704722,0.7346445867885927,5610.438207734956,55.027750339231936,35.0
RF,XGB,3,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.6835068455132545,0.09382394118729268,6006.850748271966,1253.4466721875206,56.787912529126196,6.844031612704722,0.7346445867885927,5610.438207734956,55.027750339231936,35.0
RFE_RF,XGB,3,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.6835068455132545,0.09382394118729268,6006.850748271966,1253.4466721875206,56.787912529126196,6.844031612704722,0.7346445867885927,5610.438207734956,55.027750339231936,35.0
XGB,XGB,3,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.6835068455132545,0.09382394118729268,6006.850748271966,1253.4466721875206,56.787912529126196,6.844031612704722,0.7346445867885927,5610.438207734956,55.027750339231936,35.0
RFE_RF,XGB,7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6936023609934876,0.0905065910637498,5855.061084374586,1366.3152196189196,58.44032389026952,6.297382486854991,0.7274315826482389,5762.94353457881,55.97042790698823,39.0
RFE_RF,XGB,2,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6217214858969122,0.09480035834117963,7196.810167369078,1031.8460443293413,62.205460067656624,5.182302084896649,0.7251125387331854,5811.975330949462,59.98382599917457,40.0
