Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,XGBoost,XGB,5,0.6214825693279608,8003.034984796698,65.77302607866802,"['pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_RF_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,LinearRegression,RF_XGB,2,0.754626561206947,5187.957160953363,51.42239673013728,"['pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,RandomForest,RF_XGB,6,0.6991873934985195,6360.113481233835,57.28765704761907,"['pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_RF_Top6', 'pred_XGB_RF_Top7']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,XGBoost,RF_XGB,5,0.6214825693279608,8003.034984796698,65.77302607866802,"['pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_RF_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,RandomAverage,20,None,None,20,0.764443161786645,4980.403712934828,52.526151415994995,"['pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_XGB_Top3', 'pred_XGB_RF_Top6', 'pred_XGB_RF_Top3', 'pred_RF_XGB_XGB_Top2', 'pred_XGB_XGB_Top5', 'pred_RF_RF_Top1', 'pred_RF_XGB_RF_Top6', 'pred_XGB_XGB_Top3', 'pred_XGB_RF_Top5', 'pred_RFE_RF_XGB_Top5', 'pred_RF_XGB_Top5', 'pred_RF_XGB_XGB_Top4', 'pred_RFE_RF_XGB_Top2', 'pred_RF_XGB_Top7', 'pred_RF_XGB_RF_Top7', 'pred_RF_XGB_RF_Top4', 'pred_RFE_RF_XGB_Top1', 'pred_RFE_RF_RF_Top6', 'pred_RFE_RF_RF_Top2']"
prf2000_mean_raw_Aug_9input_PMinMax,TopKAverage,20,None,None,20,0.7647900387423991,4973.069655934096,50.630587879750095,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top6', 'pred_XGB_RF_Top6', 'pred_RF_XGB_RF_Top6', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top4', 'pred_RF_RF_Top4', 'pred_RFE_RF_RF_Top4', 'pred_RF_XGB_RF_Top4', 'pred_RF_XGB_RF_Top3', 'pred_RF_RF_Top3', 'pred_XGB_RF_Top3', 'pred_RFE_RF_RF_Top3', 'pred_RF_XGB_XGB_Top6', 'pred_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,LinearRegression,RF,13,0.7640916686586428,4987.835370164782,50.5155274372669,"['pred_XGB_RF_Top7', 'pred_RF_XGB_RF_Top7', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_XGB_Top6', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_RF_Top6', 'pred_XGB_RF_Top6', 'pred_RFE_RF_RF_Top3']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,RandomForest,RF,19,0.7167204703602431,5989.409740414356,55.359475341269864,"['pred_XGB_RF_Top7', 'pred_RF_XGB_RF_Top7', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_XGB_Top6', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_RF_Top6', 'pred_XGB_RF_Top6', 'pred_RFE_RF_RF_Top3', 'pred_RF_XGB_RF_Top4', 'pred_RF_RF_Top3', 'pred_RF_RF_Top4', 'pred_RF_XGB_RF_Top3', 'pred_RFE_RF_RF_Top4', 'pred_XGB_RF_Top3']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,XGBoost,RF,14,0.696469729630177,6417.57334239967,58.2255730126178,"['pred_XGB_RF_Top7', 'pred_RF_XGB_RF_Top7', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_XGB_Top6', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_RF_Top6', 'pred_XGB_RF_Top6', 'pred_RFE_RF_RF_Top3', 'pred_RF_XGB_RF_Top4']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,LinearRegression,RFE_RF,7,0.7639255137227507,4991.348401949025,50.533305183542936,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_XGB_RF_Top3', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,RandomForest,RFE_RF,6,0.7185695555019567,5950.3143332286745,54.66662907301587,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_XGB_RF_Top3']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,XGBoost,RFE_RF,9,0.6978710065623199,6387.945992632928,58.02265489317878,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_XGB_RF_Top6', 'pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top4', 'pred_XGB_RF_Top3', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,LinearRegression,XGB,6,0.7639255137227506,4991.348401949027,50.53330518354294,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top3', 'pred_RF_XGB_RF_Top7', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,RandomForest,XGB,4,0.735389223101226,5594.694281622032,53.65391769841272,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top3']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,XGBoost,XGB,8,0.7022073635530874,6296.261927669091,58.63668809461806,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top3', 'pred_RF_XGB_RF_Top7', 'pred_RF_XGB_XGB_Top6', 'pred_XGB_RF_Top4', 'pred_XGB_RF_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,LinearRegression,RF_XGB,11,0.7640916686586429,4987.835370164781,50.51552743726688,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_XGB_RF_Top3', 'pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top6', 'pred_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,RandomForest,RF_XGB,9,0.719861293334394,5923.002980496974,54.60434933650794,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_XGB_RF_Top3', 'pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,20,XGBoost,RF_XGB,13,0.7001058717506736,6340.693996187365,58.75651730274988,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_XGB_RF_Top3', 'pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top6', 'pred_XGB_XGB_Top6', 'pred_RFE_RF_RF_Top6', 'pred_XGB_RF_Top4']"
prf2000_mean_raw_Aug_9input_PMinMax,RandomAverage,30,None,None,30,0.7625603385335477,5020.212448659293,53.06843925106433,"['pred_XGB_XGB_Top5', 'pred_RFE_RF_RF_Top1', 'pred_XGB_RF_Top7', 'pred_RFE_RF_RF_Top2', 'pred_RF_XGB_Top8', 'pred_RFE_RF_XGB_Top8', 'pred_RF_XGB_XGB_Top1', 'pred_RFE_RF_XGB_Top6', 'pred_RF_XGB_XGB_Top5', 'pred_XGB_RF_Top1', 'pred_RF_XGB_RF_Top3', 'pred_RF_XGB_RF_Top6', 'pred_RF_XGB_Top7', 'pred_RF_XGB_Top5', 'pred_RF_XGB_RF_Top1', 'pred_RF_RF_Top1', 'pred_RFE_RF_XGB_Top7', 'pred_RF_XGB_XGB_Top4', 'pred_RF_XGB_XGB_Top6', 'pred_XGB_RF_Top2', 'pred_XGB_XGB_Top6', 'pred_XGB_XGB_Top4', 'pred_XGB_XGB_Top2', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top3', 'pred_RF_XGB_RF_Top7', 'pred_RF_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_RF_Top4']"
prf2000_mean_raw_Aug_9input_PMinMax,TopKAverage,30,None,None,30,0.766529728950779,4936.287197658255,51.37293609265494,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top6', 'pred_XGB_RF_Top6', 'pred_RF_XGB_RF_Top6', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top4', 'pred_RF_RF_Top4', 'pred_RFE_RF_RF_Top4', 'pred_RF_XGB_RF_Top4', 'pred_RF_XGB_RF_Top3', 'pred_RF_RF_Top3', 'pred_XGB_RF_Top3', 'pred_RFE_RF_RF_Top3', 'pred_RF_XGB_XGB_Top6', 'pred_XGB_XGB_Top6', 'pred_RFE_RF_XGB_Top8', 'pred_RF_XGB_Top8', 'pred_RF_XGB_Top6', 'pred_RFE_RF_XGB_Top6', 'pred_RF_XGB_XGB_Top5', 'pred_XGB_XGB_Top5', 'pred_RF_XGB_Top7', 'pred_RFE_RF_XGB_Top7', 'pred_RFE_RF_XGB_Top4', 'pred_XGB_XGB_Top4']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,30,LinearRegression,RF,9,0.7611658866992695,5049.695494643537,50.93426269894745,"['pred_XGB_RF_Top7', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_RF_Top7', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_Top7', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,30,RandomForest,RF,10,0.7188012505397994,5945.415579978746,55.421999957142845,"['pred_XGB_RF_Top7', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_RF_Top7', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_Top7', 'pred_RF_XGB_XGB_Top6', 'pred_XGB_RF_Top6']"
