FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RFE_RF,XGB,31,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6386010601329117,0.1411691512249364,8841.230682127534,5188.571991625616,64.31310260472736,15.304182811450321,0.7626447240456922,8439.752542951192,75.323658418625,21.0
RFE_RF,RF,15,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6858355167670973,0.14532268521228123,7132.4483571785895,3126.4233302455027,60.65619037235431,10.034835428086312,0.7614230443321912,8483.192379825416,71.44902070352686,22.0
RFE_RF,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6259820786362853,0.15445499988599679,8953.964641334303,5231.600444849345,65.34529502166276,14.273990289732684,0.7610283709555071,8497.225965643605,74.65545987126171,23.0
XGB,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6276714530443634,0.15704584621860318,9027.689145214743,4877.645911528771,67.8922230026989,17.83262490336472,0.7596335489820384,8546.822302823035,69.96270688053906,24.0
XGB,RF,20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6834935122746879,0.1599766440506572,7107.018486816947,3102.3924028237634,60.35197880208783,9.756834490805634,0.759266493151321,8559.873878644332,69.79819159522899,25.0
RF,RF,30,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6869266083972475,0.16089266598145224,7081.314627852126,3042.500248908473,60.779086484910806,10.131939868102732,0.7574200731919651,8625.527896591373,70.42243927791301,26.0
RFE_RF,XGB,30,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6231330112470397,0.15074431084221432,9137.08014717513,5231.664922886376,65.65703406066407,15.704959018974462,0.7553732004757646,8698.309506952446,74.49434262272656,27.0
RF_XGB,RF,20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6774069755882024,0.1636239395608006,7202.991989322227,2913.8790404172505,60.96326459782473,9.52203699963676,0.7544777655915647,8730.148903867426,71.28727144577981,28.0
XGB,RF,27,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6891110533144403,0.1608326473536826,7016.008354403559,3006.6165313511133,60.43122029109436,9.690658498731514,0.754135004083625,8742.336635092814,69.9026631321097,29.0
RF_XGB,RF,30,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6870870719164132,0.1536582327120114,7163.930462281949,3188.2105076393023,60.914069035921656,10.66929740117153,0.7533656342339411,8769.693478622974,70.0747118019653,30.0
RFE_RF,RF,20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6849820553637682,0.15884563788932676,7041.29310118584,2856.834690883275,60.79815073369565,9.32205363611934,0.7520111436887573,8817.855732346454,71.08611477793029,31.0
RF,XGB,21,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6534554460472854,0.12507344841156126,8382.767927465198,4793.7280699878265,64.80115598640052,14.106031465924385,0.7504517538078573,8873.30368756828,75.43299893376172,32.0
XGB,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6525195746457008,0.17533380659462058,7829.467239355499,3576.172881350715,65.19956609121289,12.003585021709648,0.7477934611797189,8967.825841660015,74.84610409558307,33.0
RF_XGB,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6492303201072676,0.17632023527166604,7886.243144160701,3570.06620792913,65.41417287856815,11.84684389944244,0.7469377268128713,8998.253588714111,74.74143270080947,34.0
XGB,RF,25,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6739474200922665,0.16372585168276568,7288.990745336535,2927.9158243612387,61.28297760556846,9.555061825274445,0.7465136147418169,9013.333939954615,71.70345758214738,35.0
RFE_RF,RF,30,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6799889121803304,0.16798770237518248,7203.46936101129,3177.7324488014588,61.35195489384618,10.210477362880232,0.7459660653918805,9032.803408244024,72.46412002792692,36.0
RF_XGB,RF,10,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6519270332916374,0.18183493715080024,7748.206751916335,3099.6811435442587,65.74576974246443,10.372169089408853,0.7420947580944188,9170.457292182075,73.01367236515938,37.0
RFE_RF,RF,25,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.678838423603913,0.16493863435698689,7232.232681310929,3147.5201763735226,61.01783952112314,9.63649603978708,0.7403220313695807,9233.490965327768,71.41169631059674,38.0
RF_XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6003291613988996,0.2739781916193552,8852.72374595315,4920.016653305877,68.76971490997003,16.062123030757018,0.7388472233738013,9285.93140290684,75.93145975876172,39.0
RF,RF,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6464836476936167,0.18966126833754887,7878.344188521471,3264.324839515624,65.67796582938438,10.727322349151251,0.7355270862486816,9403.987071279971,70.93272336967411,40.0
RFE_RF,RF,10,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6609660808007384,0.1728729842742956,7604.535940291382,3071.2985512608993,64.74842836653963,10.474325971493233,0.7347537249169951,9431.485841802256,70.80558721748628,41.0
RF,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6322947239759309,0.18103564917915962,8350.582180673377,3795.206150074581,67.27709745027843,11.971810052187847,0.7236993445145197,9824.551615198005,77.5087754144053,42.0
RFE_RF,RF,5,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6337637294518379,0.18306862629813034,8259.71591391072,3591.1662776559338,67.15206178418201,11.682797749357867,0.7234679468803951,9832.779529084411,77.8598106053129,43.0
XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.5996196062878564,0.2737080487592218,8873.383459974313,4946.543059963784,68.81841470282446,16.103338777202048,0.7205693921543381,9935.844794947012,78.54520542895312,44.0
RF,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6307896238126174,0.1495528896588378,9042.132089138846,6156.523571793188,66.21595217840935,15.868130447025148,0.7049187340810878,10492.34256286687,76.67630551335156,45.0
