FS_Method,Model,Features_Used,Fold,R2,MSE,MAE
RFE_RF,RF,10,1,0.7926797678584624,7455.918052069827,62.81071872653911
RFE_RF,RF,10,2,0.18956593583496284,5940.228529719564,57.75588275945647
RFE_RF,RF,10,3,0.7854172947215856,5953.491170886814,62.11715828509568
RFE_RF,RF,10,4,0.7977209256431603,7387.594238902407,65.9260820430913
RFE_RF,RF,10,5,0.7096771980573366,9700.22022848379,73.76319881544546
RFE_RF,RF,10,6,0.5928933305838262,4715.7141087498585,57.66018401596366
RFE_RF,RF,10,7,0.7822825150264208,9009.733694959657,74.08978088020454
RFE_RF,RF,10,8,0.6146677263589723,3276.376901425481,45.196298897299975
RFE_RF,RF,10,9,0.6943524642247482,15042.099974098068,85.50284109637727
RFE_RF,RF,10,10,0.6504036496979091,7563.982503618353,62.66213814592272
RFE_RF,RF,15,1,0.8079946264333964,6905.145320753416,58.9544664545956
RFE_RF,RF,15,2,0.3143468627140895,5025.623314333041,48.99802838155215
RFE_RF,RF,15,3,0.795710360263689,5667.91515138998,61.93878286795214
RFE_RF,RF,15,4,0.8238607474116177,6432.921110618623,60.4295191256478
RFE_RF,RF,15,5,0.7280124622198779,9087.605238775875,65.00742572595908
RFE_RF,RF,15,6,0.609202378814178,4526.798488795888,55.37397402849093
RFE_RF,RF,15,7,0.8003333192750708,8262.742982294027,69.85632668645
RFE_RF,RF,15,8,0.6064186903222655,3346.516240843675,46.780860796822736
RFE_RF,RF,15,9,0.6920722091867427,15154.320163150533,83.43307802395903
RFE_RF,RF,15,10,0.6804035110300458,6914.895560830834,55.789441632113636
RFE_RF,RF,20,1,0.8164937377499406,6599.489298487768,59.315032722934774
RFE_RF,RF,20,2,0.2611542934552049,5415.5082308885285,51.087837141608645
RFE_RF,RF,20,3,0.802331028655304,5484.227976956661,61.10133288409136
RFE_RF,RF,20,4,0.819796290456609,6581.362361304398,59.3309984231217
RFE_RF,RF,20,5,0.7298345250295015,9026.726760043886,64.81183463068182
RFE_RF,RF,20,6,0.6134333087690471,4477.7895739826745,56.89216763351819
RFE_RF,RF,20,7,0.7930254162830215,8565.1636162406,70.10066067394997
RFE_RF,RF,20,8,0.6252333367791192,3186.54035178241,45.95430076389546
RFE_RF,RF,20,9,0.7154964649705596,14001.521739877433,81.39343725835906
RFE_RF,RF,20,10,0.6730221514893744,7074.601102294037,57.99390520479547
RFE_RF,RF,25,1,0.8119086144635288,6764.385426226933,60.64449801336087
RFE_RF,RF,25,2,0.23267258830114135,5624.270232650556,50.31218426643909
RFE_RF,RF,25,3,0.8053921764076759,5399.297944534524,61.856210210269595
RFE_RF,RF,25,4,0.8193152669549805,6598.930201481175,59.212170031639104
RFE_RF,RF,25,5,0.7237099319885492,9231.360708564434,65.80953541215455
RFE_RF,RF,25,6,0.6385350259686026,4187.024202534575,54.17803881114548
RFE_RF,RF,25,7,0.7857699167771424,8865.415653323496,71.29368801088637
RFE_RF,RF,25,8,0.616983305299774,3256.6881551821866,46.647505383454536
RFE_RF,RF,25,9,0.6946794263919087,15026.008898494585,81.57191248285451
RFE_RF,RF,25,10,0.6594179834858271,7368.945390116828,58.6526525890273
RFE_RF,RF,30,1,0.8201217080451156,6469.015543289091,60.006120178856555
RFE_RF,RF,30,2,0.22106579980154228,5709.3443666638805,51.27374108131734
RFE_RF,RF,30,3,0.8081521773065627,5322.72308281935,62.091521264404356
RFE_RF,RF,30,4,0.8101639454625067,6933.15285971264,61.105871061960855
RFE_RF,RF,30,5,0.7342752905931484,8878.352592867896,65.01936381219542
RFE_RF,RF,30,6,0.6540773420203498,4006.990013477976,52.9914406290864
RFE_RF,RF,30,7,0.7787878339507189,9154.352974594962,73.14829072741817
RFE_RF,RF,30,8,0.6096054795624635,3319.4198272533017,47.23056358168637
RFE_RF,RF,30,9,0.6927631985053706,15120.313900396046,83.6596521603999
RFE_RF,RF,30,10,0.6708763465555252,7121.028449037756,56.99298444113638
RFE_RF,RF,32,1,0.8247063259023764,6304.137592446088,60.734843802965244
RFE_RF,RF,32,2,0.26231926520152504,5406.969351897876,49.23049737659997
RFE_RF,RF,32,3,0.8173348676786514,5067.95387397614,60.94125928450868
RFE_RF,RF,32,4,0.8260116638724194,6354.365787460743,58.790439696486956
