Method,Top_K,Meta_Model,FS_Method,Best_n,Fold,R2,MSE,MAE
RandomAverage,20,None,None,20,1,0.6137441205180145,6126.235887967435,56.00848634062117
RandomAverage,20,None,None,20,2,0.4006620597632735,14048.33778300127,85.06982171559163
RandomAverage,20,None,None,20,3,0.8557484299220126,7024.105764653225,59.6010615230198
RandomAverage,20,None,None,20,4,0.6135469021904194,7252.921397765934,65.24576308298816
RandomAverage,20,None,None,20,5,0.7836726519175318,6572.717359447639,67.55517792477941
RandomAverage,20,None,None,20,6,0.7895700171139588,9985.286803432859,71.4642960707854
RandomAverage,20,None,None,20,7,0.7048259899860484,4071.2369542196147,47.53454740022189
RandomAverage,20,None,None,20,8,0.5621109905120333,5598.236775473761,55.25420166264216
RandomAverage,20,None,None,20,9,0.891574899835347,4637.65852705533,52.97680739206583
RandomAverage,20,None,None,20,10,0.8369719208580338,4594.695028196638,47.15412383488413
TopKAverage,20,None,None,20,1,0.6157651157140145,6094.181765410778,56.01521175970713
TopKAverage,20,None,None,20,2,0.40086357480171053,14043.61431876138,84.71497066459278
TopKAverage,20,None,None,20,3,0.8553480580746149,7043.601248825706,59.30108441120339
TopKAverage,20,None,None,20,4,0.6210210157232474,7112.647821803318,65.08481729016803
TopKAverage,20,None,None,20,5,0.7817162012887576,6632.160592698682,67.79581712585697
TopKAverage,20,None,None,20,6,0.7928935255932203,9827.580259413233,70.66224166557299
TopKAverage,20,None,None,20,7,0.700382984112262,4132.517856628059,47.87123025738854
TopKAverage,20,None,None,20,8,0.5668234075952914,5537.990397863795,54.90805379574656
TopKAverage,20,None,None,20,9,0.8938273025262556,4541.316678811775,52.373130266655245
TopKAverage,20,None,None,20,10,0.8358129545564588,4627.358706329393,47.09128619191102
FS_MetaModel,20,LinearRegression,RF,3,1,0.68794647412701,4949.344749738742,50.64459236158427
FS_MetaModel,20,LinearRegression,RF,3,2,0.4243217585293997,13493.760110212334,82.0091422908113
FS_MetaModel,20,LinearRegression,RF,3,3,0.7632189848784554,11529.683124949794,68.06985013911016
FS_MetaModel,20,LinearRegression,RF,3,4,0.7084868749364701,5471.095443371745,59.444621456068724
FS_MetaModel,20,LinearRegression,RF,3,5,0.8019326860285259,6017.919067649212,63.512874473485915
FS_MetaModel,20,LinearRegression,RF,3,6,0.7509539823266156,11817.688143178158,76.26702591129225
FS_MetaModel,20,LinearRegression,RF,3,7,0.6775234694933975,4447.8115393863945,49.82537574934088
FS_MetaModel,20,LinearRegression,RF,3,8,0.5607634066804281,5615.465098634799,54.346876445634024
FS_MetaModel,20,LinearRegression,RF,3,9,0.8880447013537973,4788.655437044756,52.6718276764278
FS_MetaModel,20,LinearRegression,RF,3,10,0.7871011913039893,6000.224642116521,55.0317809552347
FS_MetaModel,20,LinearRegression,RFE_RF,7,1,0.6628284667581785,5347.730499577777,51.153852674349686
FS_MetaModel,20,LinearRegression,RFE_RF,7,2,0.41175214992152087,13788.388725670677,83.29745929373424
FS_MetaModel,20,LinearRegression,RFE_RF,7,3,0.8006986534319244,9704.668979166938,62.21613026628877
FS_MetaModel,20,LinearRegression,RFE_RF,7,4,0.6160548694332431,7205.852065462806,68.85201778602303
FS_MetaModel,20,LinearRegression,RFE_RF,7,5,0.8122946889642837,5703.088246774272,63.0634039990316
FS_MetaModel,20,LinearRegression,RFE_RF,7,6,0.7850924514243453,10197.755468681074,71.92168435482863
FS_MetaModel,20,LinearRegression,RFE_RF,7,7,0.6105456710681461,5371.614038286171,55.45588046209514
FS_MetaModel,20,LinearRegression,RFE_RF,7,8,0.5987297836585321,5130.0800736056135,54.75601740482632
FS_MetaModel,20,LinearRegression,RFE_RF,7,9,0.9090877834721524,3888.5812930180036,47.54525141069521
FS_MetaModel,20,LinearRegression,RFE_RF,7,10,0.7505029304850283,7031.690190324883,64.23180472174467
FS_MetaModel,20,LinearRegression,XGB,6,1,0.5930650828997007,6454.217076385439,57.152045137878396
FS_MetaModel,20,LinearRegression,XGB,6,2,0.3558547195294124,15098.611107120409,86.19976382555949
FS_MetaModel,20,LinearRegression,XGB,6,3,0.770560345864953,11172.206974099026,65.68218201626063
FS_MetaModel,20,LinearRegression,XGB,6,4,0.6297176061319467,6949.430895815729,66.66017271355497
FS_MetaModel,20,LinearRegression,XGB,6,5,0.8034021029062317,5973.2734788876805,63.07468694949637
FS_MetaModel,20,LinearRegression,XGB,6,6,0.802615341864356,9366.26233130153,68.77476477294468
FS_MetaModel,20,LinearRegression,XGB,6,7,0.6739629428229328,4496.920699629179,48.24871352285554
FS_MetaModel,20,LinearRegression,XGB,6,8,0.5877958736435723,5269.865763173488,56.71271614759052
FS_MetaModel,20,LinearRegression,XGB,6,9,0.9099759301283794,3850.592663934222,47.745030396912036
FS_MetaModel,20,LinearRegression,XGB,6,10,0.7851570157707367,6055.0182316845985,53.44910865413602
FS_MetaModel,20,LinearRegression,RF_XGB,8,1,0.665759729079967,5301.239027507835,51.008471542449115
FS_MetaModel,20,LinearRegression,RF_XGB,8,2,0.3585079766395892,15036.419395889528,86.39665528585756
FS_MetaModel,20,LinearRegression,RF_XGB,8,3,0.7889467764225957,10276.908345449701,63.65401798060368
FS_MetaModel,20,LinearRegression,RF_XGB,8,4,0.6212152305574141,7109.002813044234,67.89429669564156
FS_MetaModel,20,LinearRegression,RF_XGB,8,5,0.8136605809880427,5661.588074487825,62.579813375859274
FS_MetaModel,20,LinearRegression,RF_XGB,8,6,0.7747714011571931,10687.508143735817,72.51779536313946
FS_MetaModel,20,LinearRegression,RF_XGB,8,7,0.6327613240609755,5065.200924806931,52.33392644658449
FS_MetaModel,20,LinearRegression,RF_XGB,8,8,0.639754458439882,4605.595927882576,49.383076195208986
FS_MetaModel,20,LinearRegression,RF_XGB,8,9,0.9095657327427993,3868.1380053738176,47.62026572613973
FS_MetaModel,20,LinearRegression,RF_XGB,8,10,0.7474699000031304,7117.171477652139,63.36774647012662
RandomAverage,22,None,None,22,1,0.6123694940070064,6148.038238977817,56.26916346822503
RandomAverage,22,None,None,22,2,0.40677008100769074,13905.167227849317,84.63280006273295
RandomAverage,22,None,None,22,3,0.8501899382787788,7294.767866791229,60.17969387845635
RandomAverage,22,None,None,22,4,0.6186512823726235,7157.122791270916,64.94047551635778
RandomAverage,22,None,None,22,5,0.7818704543362183,6627.473891309427,67.92567815932716
RandomAverage,22,None,None,22,6,0.7880038052875893,10059.606413531852,71.15250780044207
RandomAverage,22,None,None,22,7,0.7027720622706901,4099.56609612363,47.47770817264172
RandomAverage,22,None,None,22,8,0.5559405076228878,5677.123944331546,55.82932485462109
RandomAverage,22,None,None,22,9,0.8926622164634733,4591.1508159775285,52.69302215417353
RandomAverage,22,None,None,22,10,0.8375324701632142,4578.896810373509,47.00179148060447
TopKAverage,22,None,None,22,1,0.6123694940070062,6148.038238977819,56.26916346822503
TopKAverage,22,None,None,22,2,0.40677008100769074,13905.167227849317,84.63280006273297
TopKAverage,22,None,None,22,3,0.8501899382787788,7294.767866791227,60.17969387845636
TopKAverage,22,None,None,22,4,0.6186512823726236,7157.1227912709155,64.94047551635778
TopKAverage,22,None,None,22,5,0.7818704543362183,6627.473891309425,67.92567815932715
TopKAverage,22,None,None,22,6,0.7880038052875893,10059.606413531852,71.15250780044208
TopKAverage,22,None,None,22,7,0.7027720622706901,4099.566096123629,47.47770817264172
TopKAverage,22,None,None,22,8,0.5559405076228878,5677.123944331545,55.82932485462109
TopKAverage,22,None,None,22,9,0.8926622164634733,4591.150815977529,52.69302215417353
TopKAverage,22,None,None,22,10,0.8375324701632142,4578.896810373509,47.00179148060445
FS_MetaModel,22,LinearRegression,RF,5,1,0.6842061236516563,5008.668815812297,50.947431027021345
FS_MetaModel,22,LinearRegression,RF,5,2,0.387488498515122,14357.122903706279,85.84049609902385
FS_MetaModel,22,LinearRegression,RF,5,3,0.7780784634011373,10806.123938075905,64.47231271431798
FS_MetaModel,22,LinearRegression,RF,5,4,0.619025790832065,7150.094045908222,68.31107090066554
FS_MetaModel,22,LinearRegression,RF,5,5,0.8123298819822693,5702.018970225115,62.54345829269258
FS_MetaModel,22,LinearRegression,RF,5,6,0.7671285082070578,11050.177365433019,74.73201765012153
FS_MetaModel,22,LinearRegression,RF,5,7,0.6507401609819679,4817.224806370309,51.03439375939584
FS_MetaModel,22,LinearRegression,RF,5,8,0.5700218331808148,5497.099799222301,53.09897138934306
FS_MetaModel,22,LinearRegression,RF,5,9,0.8844572021676694,4942.103265694066,54.38220298572176
FS_MetaModel,22,LinearRegression,RF,5,10,0.7869135702625702,6005.5124518651855,54.99010181075932
FS_MetaModel,22,LinearRegression,RFE_RF,7,1,0.6628284667581785,5347.730499577777,51.153852674349686
FS_MetaModel,22,LinearRegression,RFE_RF,7,2,0.41175214992152087,13788.388725670677,83.29745929373424
FS_MetaModel,22,LinearRegression,RFE_RF,7,3,0.7822134544644089,10604.776981861745,62.839508412865264
FS_MetaModel,22,LinearRegression,RFE_RF,7,4,0.6055315642536402,7403.352630848288,69.84744009724615
FS_MetaModel,22,LinearRegression,RFE_RF,7,5,0.8122946889642837,5703.088246774272,63.0634039990316
FS_MetaModel,22,LinearRegression,RFE_RF,7,6,0.7850924514243453,10197.755468681074,71.92168435482863
FS_MetaModel,22,LinearRegression,RFE_RF,7,7,0.6105456710681461,5371.614038286171,55.45588046209514
FS_MetaModel,22,LinearRegression,RFE_RF,7,8,0.5987297836585321,5130.0800736056135,54.75601740482632
FS_MetaModel,22,LinearRegression,RFE_RF,7,9,0.8981752519635415,4355.342169658333,50.10047964728051
FS_MetaModel,22,LinearRegression,RFE_RF,7,10,0.7505029304850283,7031.690190324883,64.23180472174467
FS_MetaModel,22,LinearRegression,XGB,6,1,0.5930650828997008,6454.217076385438,57.152045137878375
FS_MetaModel,22,LinearRegression,XGB,6,2,0.3620377667127952,14953.68196192715,85.75826431942738
FS_MetaModel,22,LinearRegression,XGB,6,3,0.7938105055983339,10040.076620688964,62.968023418361454
FS_MetaModel,22,LinearRegression,XGB,6,4,0.612390931664891,7274.616561829343,68.30074521228998
FS_MetaModel,22,LinearRegression,XGB,6,5,0.7965486442126797,6181.503493847208,65.79415329292503
FS_MetaModel,22,LinearRegression,XGB,6,6,0.8026153418643556,9366.262331301547,68.7747647729447
FS_MetaModel,22,LinearRegression,XGB,6,7,0.6782303908208495,4438.061208617393,48.59463010140778
FS_MetaModel,22,LinearRegression,XGB,6,8,0.590952239114704,5229.512886361195,52.25577388434947
FS_MetaModel,22,LinearRegression,XGB,6,9,0.8879005467480618,4794.821350984315,53.616003763874254
FS_MetaModel,22,LinearRegression,XGB,6,10,0.7889217998207093,5948.913598374285,54.6703872321421
FS_MetaModel,22,LinearRegression,RF_XGB,7,1,0.6662145569749802,5294.025200816018,51.17582492938336
FS_MetaModel,22,LinearRegression,RF_XGB,7,2,0.36809470009335754,14811.708894068865,85.55505614448752
FS_MetaModel,22,LinearRegression,RF_XGB,7,3,0.8006986534319266,9704.66897916683,62.21613026628862
FS_MetaModel,22,LinearRegression,RF_XGB,7,4,0.6136394478960361,7251.184507229039,68.21368572416874
FS_MetaModel,22,LinearRegression,RF_XGB,7,5,0.8111653451782532,5737.401326341064,63.12506079334496
FS_MetaModel,22,LinearRegression,RF_XGB,7,6,0.7747424959348338,10688.879749299891,72.5160482350006
FS_MetaModel,22,LinearRegression,RF_XGB,7,7,0.6388923570420417,4980.637625894278,51.71638453259282
FS_MetaModel,22,LinearRegression,RF_XGB,7,8,0.5907728115888462,5231.806795895403,52.223644155403534
FS_MetaModel,22,LinearRegression,RF_XGB,7,9,0.9087767700899705,3901.8842446566355,47.96694384063306
FS_MetaModel,22,LinearRegression,RF_XGB,7,10,0.7513954713279015,7006.535302928821,62.99324636441956
